Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
matrix-mult-l1, matrix-trans-l3, 13, 1, 13027530270, 35624059846, 41539049678, 5910497266, 4849915, 79216765, 3363825, 23725059524, 3310861312, 5777570, 303976510, 1194392696, 595445085, 8089468, 15535168, 582837387, 289233919, 3421116, 4890552, 33932389976, 17484737881, 9325583, 2559828543, 
matrix-mult-l2, matrix-trans-l3, 13, 1, 13027726743, 33190518062, 35437743412, 4343445392, 83032517, 573895836, 17340821, 24315627789, 3528518034, 5122409, 308512939, 1197220072, 578643262, 9165032, 15626745, 578017278, 298176191, 3372152, 4654491, 34535149304, 17147943066, 9701238, 2507333000, 
matrix-mult-l3, matrix-trans-l3, 13, 1, 13028520314, 33656632463, 16088999330, 1881391926, 16129317, 221312093, 16331013, 11832298339, 1734798408, 4363417, 1893690482, 1427095803, 563351575, 7967189, 14413786, 556067520, 290464395, 2996006, 4563531, 35026037173, 11297008254, 9564305, 1634167632, 
matrix-mult-mem, matrix-trans-l3, 13, 1, 13035787616, 34204352916, 16035375639, 1839590377, 13922818, 247574121, 18017674, 11727897455, 1683864955, 4987715, 1851284687, 1429336732, 585580044, 8623390, 14378898, 556875709, 271568106, 2924045, 4280097, 35596169071, 11734740391, 9329315, 1703029227, 
matrix-trans-l1, matrix-trans-l3, 13, 1, 13027423999, 34975978387, 66770215898, 9681330191, 111805603, 75208684, 3534319, 19375108372, 1596610888, 5072501, 297881688, 1183130192, 603924388, 8520087, 15116535, 613569984, 271222983, 3598545, 4936756, 35592870710, 17010431382, 9699429, 2482844511, 
matrix-trans-l2, matrix-trans-l3, 13, 1, 13027906225, 35595216070, 50170833637, 7216879965, 22194753, 170922920, 13376526, 14448223905, 3314183077, 4977797, 310954457, 1190345316, 582706696, 8151217, 14956703, 596015928, 276688809, 3541796, 4911532, 34063861762, 17417131774, 9078982, 2553568900, 
matrix-trans-l3, matrix-trans-l3, 13, 1, 13028677488, 35470778891, 16990903822, 2444876089, 4589782, 105413908, 8495388, 4934276477, 2477707608, 5426844, 606876173, 1236949131, 589692032, 8450711, 15259122, 585672218, 280820733, 3370473, 4698580, 34620079226, 17056013992, 9628437, 2494891935, 
matrix-trans-mem, matrix-trans-l3, 13, 1, 13035645100, 35310423648, 10935407661, 1549208424, 9329594, 139656579, 10178272, 4558326222, 1483963317, 5347299, 485885592, 1199499386, 578972821, 8667866, 15005228, 577930774, 290968472, 3323767, 4821662, 35297041949, 17023679096, 9654887, 2488634554, 
matrix-add-l1, matrix-trans-l3, 13, 1, 13027408630, 32096239474, 39400846444, 4674539554, 3955918, 71675217, 3169501, 30023255935, 3946350564, 5300552, 312527687, 1160640124, 562045226, 9071944, 15559430, 586661445, 280937144, 3419066, 4809635, 33407435436, 17863628437, 9277678, 2622249795, 
matrix-add-l2, matrix-trans-l3, 13, 1, 13027712675, 32723372643, 32857212327, 3339970668, 63511187, 657275262, 19513987, 29581858663, 4053294160, 5538759, 314060320, 1194293478, 581577443, 8956242, 15438043, 578968345, 288206475, 3365168, 4835560, 34058760177, 17305358951, 9318358, 2532770203, 
matrix-add-l3, matrix-trans-l3, 13, 1, 13028689293, 33199255125, 15745705617, 1538676851, 13409980, 352693812, 19882671, 15427057805, 2058521612, 5012871, 2238462358, 1375410614, 568540283, 8401337, 14042008, 560891593, 277525410, 3022431, 4448828, 34564828891, 11731085320, 9352393, 1704849411, 
matrix-add-mem, matrix-trans-l3, 13, 1, 13035842865, 33855969225, 15894914264, 1533423913, 12901948, 294293630, 21158884, 15389198790, 2018143209, 4520152, 2202971512, 1404345546, 544928387, 8695072, 14229832, 561445490, 261706876, 3004346, 4227908, 35219172203, 11956503960, 9405926, 1734351862, 
matrix-prod-l1, matrix-trans-l3, 13, 1, 13027727064, 34610499197, 47961036490, 6098687229, 70925550, 85727785, 3609002, 12135290917, 747847409, 5332177, 299140925, 1175620667, 578851913, 8566173, 14936112, 619955165, 267965126, 3668079, 5051393, 35233888431, 17070808483, 9653233, 2493194018, 
matrix-prod-l2, matrix-trans-l3, 13, 1, 13027770287, 35293184532, 42382547577, 5335392629, 16609104, 84108021, 6512290, 10684099019, 2771148035, 5687981, 311967983, 1159722861, 584160154, 8252867, 15028968, 596547610, 273829325, 3566247, 4680732, 33748700925, 17618226460, 8903879, 2583310910, 
matrix-prod-l3, matrix-trans-l3, 13, 1, 13031298338, 35929077621, 19761906437, 2492573064, 4714562, 94846584, 7412929, 5022247047, 2532210925, 5932232, 470453447, 1186440665, 613294309, 8388987, 15368725, 586795863, 281626843, 3463605, 4652824, 34391398767, 17590484628, 9544078, 2574346588, 
matrix-prod-mem, matrix-trans-l3, 13, 1, 13035815460, 35886479069, 11498235758, 1439439118, 9314609, 118721041, 8551980, 4353083989, 1381827132, 5471785, 396525304, 1232601181, 600616924, 8316442, 15343979, 581378150, 289275073, 3332474, 4920754, 35034544183, 17310210842, 9297145, 2531179360, 
tree-rb-mem, matrix-trans-l3, 13, 1, 13030258252, 35680371402, 4147407920, 1012406310, 31244952, 131205438, 8505385, 2058935489, 323197789, 6147414, 517753622, 1091610136, 528719980, 8702149, 14044618, 565441605, 293916302, 3226540, 4291356, 35666287444, 17031488447, 9659238, 2486754009, 
tree-binary-mem, matrix-trans-l3, 13, 1, 13030172575, 32399020644, 2340587399, 510480290, 16919047, 95085860, 6437452, 1067303233, 246242486, 5682382, 459343880, 1153245796, 582556620, 7934073, 15085793, 579052784, 283414990, 3309752, 4486940, 33644456923, 17642696257, 9212565, 2586032724, 
heapsort-mem, matrix-trans-l3, 13, 1, 13020473327, 35655719684, 33987683343, 5989874647, 200573584, 86799273, 6154516, 15186186270, 127889803, 5906341, 389901243, 1261280711, 646584511, 8703594, 15455382, 579719267, 294565620, 3361606, 4385311, 34241565494, 17335505869, 9462805, 2534562626, 
mergesort-mem, matrix-trans-l3, 13, 1, 13021960356, 33431903427, 31958404034, 6015920949, 236236318, 106105745, 7421874, 13732864704, 227771477, 5814002, 518314538, 1258640734, 588595345, 8204030, 15521459, 578809696, 296223148, 3326753, 4685726, 34814970261, 16725791288, 9284134, 2443135006, 
qsort-mem, matrix-trans-l3, 13, 1, 13021788383, 34173691178, 34651911944, 10823706003, 111080271, 87325611, 4650851, 11837632019, 79943772, 5354804, 328031531, 1202654638, 595180716, 8104654, 15468392, 583263768, 280924791, 3379783, 4281330, 35479952764, 16814345237, 9636022, 2452784847, 
radixsort-mem, matrix-trans-l3, 13, 1, 13024450754, 34796150254, 4068983180, 677164239, 17595924, 97442009, 5276011, 1783344174, 152230551, 5461029, 455627442, 1212287695, 571703617, 7698468, 14985142, 616192284, 267369870, 3610169, 4585550, 35373205984, 17271465210, 9781453, 2520960477, 
skiplist-mem, matrix-trans-l3, 13, 1, 13963603657, 37991165713, 21720028852, 4937079354, 224956834, 288252176, 7717510, 9289637410, 217497743, 5630284, 419068998, 1241820497, 604887150, 8593650, 15616748, 633153583, 296140644, 3727632, 5105935, 36448062737, 18685994367, 9773239, 2739474435, 
lsearch-mem, matrix-trans-l3, 13, 1, 13019323647, 35756848486, 35748305964, 10194106714, 1246509, 80581842, 5568000, 12800344138, 163983711, 6418283, 299106360, 1214213517, 607013050, 8107920, 15708225, 574017989, 297196696, 3332308, 4360834, 35705660237, 17026857046, 9920902, 2484917914, 
ackermann, stream-mem, 13, 1, 13090662360, 32627377856, 55179040364, 16527331018, 22701734, 102614414, 2823475, 11097772495, 899569901, 4912499, 489764919, 1216587361, 578633520, 7644429, 15100834, 562622279, 271650577, 3104090, 4356739, 34491513713, 1435393887, 9626812, 389431330, 
hamming, stream-mem, 13, 1, 13022855212, 33209560925, 78016422458, 2694135377, 981429, 65801643, 2770107, 2458483874, 3622414, 5384931, 486616276, 1198712135, 611791711, 8145836, 15291119, 547931360, 278597405, 3018757, 4058896, 34943232300, 1421072127, 9359238, 387500289, 
gray, stream-mem, 13, 1, 13021076793, 33824914591, 26560992725, 1297825910, 1147466, 66565295, 2797745, 102743390, 3600906, 6191562, 487897002, 1234703668, 585763896, 8425091, 15226108, 546634665, 280986966, 2982388, 4216461, 35347552575, 1421062528, 9258603, 389290205, 
hanoi, stream-mem, 13, 1, 13021783617, 34410489229, 53020087353, 8843505846, 19409448, 68652630, 2999856, 20765220314, 3897376, 5157991, 487537118, 1172403561, 561002091, 7948101, 14847462, 554351342, 267087219, 3030261, 4168509, 35741867465, 1452036294, 9691471, 389511463, 
branch, stream-mem, 13, 1, 13021417274, 35044238967, 11639167875, 1023659859, 326831716, 8970641127, 112000292, 11597030339, 4375428, 5633002, 488171632, 1148347934, 571276268, 8092229, 14516136, 592348057, 257667855, 3380186, 4606910, 35725010473, 1436752013, 9640588, 389444904, 
longjmp, stream-mem, 13, 1, 13021447352, 35664193454, 57976023179, 12260496466, 1611510, 69826389, 3258665, 25656733074, 4227581, 5931528, 488917557, 1214002814, 636072739, 8321545, 15086040, 573626486, 263915874, 3277573, 4572336, 34602649670, 1413926525, 9293283, 388834276, 
funccall, stream-mem, 13, 1, 13021430291, 35578826731, 31743276203, 8084502154, 1374401, 2820189170, 3318371, 14134507144, 4204293, 5689423, 489102665, 1170353209, 586481348, 8554400, 15394352, 563137776, 269217666, 3127399, 4279291, 35018663075, 1415684373, 9433014, 389508403, 
funcret, stream-mem, 13, 1, 13021111797, 35305588626, 20529549068, 10195412456, 1857725, 67919291, 3073026, 8568871063, 3699791, 5525031, 486348349, 1139610069, 555472752, 8930760, 14694718, 553124437, 275257331, 3081707, 4321186, 35422321228, 1458874611, 9855533, 388759187, 
