Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
branch, system-noise, 9, 1, 9020144079, 18936084314, 7262118978, 649795591, 201671960, 5641114056, 7547661, 7175236893, 5501896, 3946211, 2069667, 652370056, 406533305, 4637885, 8532893, 435429863, 229699511, 3122455, 3811737, 451828592, 211537439, 3250961, 4216148, 
branch, system-noise, 9, 2, 9020279231, 21098193360, 7256784847, 651461022, 201253138, 5566241195, 7437440, 7197473179, 5973407, 3400736, 1882343, 620222265, 374812253, 4206467, 8326175, 431995713, 226681479, 3044023, 3866300, 437373390, 229465127, 3085348, 4308568, 
branch, system-noise, 9, 3, 9020221925, 21690211237, 7227294119, 649348986, 200252756, 5465303844, 7341854, 7117971601, 6136543, 3800930, 2069757, 649983463, 399712230, 4478971, 8728740, 440604426, 230017865, 3129774, 4160505, 443961259, 230783990, 3181942, 4328739, 
branch, system-noise, 9, 4, 9020526170, 21312764546, 7229173346, 649347677, 200345020, 5488950999, 7449863, 7110333956, 6067176, 4244190, 2352609, 715919953, 422641214, 4343633, 9237236, 444227771, 224083034, 3168605, 4056072, 447810839, 224983272, 3175997, 4310256, 
branch, system-noise, 9, 5, 9021437361, 21713412324, 7225448506, 648883149, 200223843, 5465124210, 7293374, 7117531638, 6172255, 4131869, 2302454, 733470548, 431050728, 4140602, 9677803, 441395344, 230032786, 3151877, 4144642, 445082925, 231152152, 3205954, 4170952, 
branch, system-noise, 9, 6, 9020246531, 19222860088, 7272464219, 651034579, 201877538, 5625567865, 7538300, 7168030305, 5644273, 4196142, 2311388, 761680951, 481941294, 4135304, 9885097, 433886574, 234868862, 3129942, 4050612, 449492496, 216891747, 3239029, 4318574, 
branch, system-noise, 10, 1, 10020454809, 23726637675, 8039237220, 721954204, 222946340, 6095710744, 8180967, 7907715302, 6646413, 5293133, 2649027, 796475413, 478943521, 5359577, 10333029, 493311486, 240250120, 3430784, 4511903, 485309291, 252218878, 3500797, 4382759, 
branch, system-noise, 10, 2, 10020193834, 22896128446, 8044651557, 721086484, 223160171, 6147885600, 8314198, 7930480136, 6799289, 4741412, 2440401, 791367118, 472888207, 4912547, 9492779, 480628651, 247905632, 3517561, 3695962, 489137451, 264492768, 3508892, 4735121, 
branch, system-noise, 10, 3, 10020357710, 22396765537, 8039585509, 720545449, 222968830, 6182855696, 8212743, 7932748302, 6402579, 4353680, 2332283, 779546303, 441370625, 4693779, 9715935, 485512670, 239607333, 3500969, 4167865, 494135835, 256192003, 3511070, 4592889, 
branch, system-noise, 10, 4, 10020350032, 21708604707, 8050500383, 720960572, 223594127, 6229011708, 8188446, 7946322386, 6087475, 4218611, 2295179, 794871171, 464539456, 4592915, 10202548, 480211935, 262621079, 3452325, 4479125, 503337623, 244666672, 3612790, 4629792, 
branch, system-noise, 10, 5, 10020318073, 23934487901, 8027616400, 720671746, 222641163, 6082599299, 8119893, 7893967282, 6723694, 4475866, 2384454, 766865570, 453232928, 4749644, 9809713, 494653320, 243439738, 3556392, 4611328, 482191963, 255045283, 3461662, 4574583, 
branch, system-noise, 10, 6, 10020281160, 24020016651, 8038507011, 721840881, 222721995, 6141455299, 8169932, 7987261213, 6723360, 4118567, 2314816, 761615362, 467407216, 4630878, 10021097, 487938932, 255427216, 3513850, 4628081, 492530939, 256251305, 3550678, 4585657, 
branch, system-noise, 11, 1, 11020432784, 26511839041, 8849820844, 794584894, 245421879, 6761983139, 8713215, 8797072463, 7477061, 4763612, 2550750, 858895336, 527216723, 5428614, 10469382, 543245985, 274067212, 3947785, 5101173, 530091385, 285377842, 3838504, 5082148, 
branch, system-noise, 11, 2, 11020283527, 26098907962, 8826265899, 792255251, 244781468, 6702238146, 8892919, 8700064695, 7440756, 4256378, 2312528, 822615689, 479572601, 5008115, 10556023, 546821505, 267118645, 3972019, 5030890, 533254999, 278337140, 3846523, 4822719, 
branch, system-noise, 11, 3, 11020174087, 25794591818, 8825405948, 791933065, 244837919, 6717226656, 8837688, 8684734186, 7620951, 4782892, 2551891, 855068969, 488929300, 5168775, 10456001, 546208879, 261639910, 3906718, 4976036, 530691505, 293845202, 3798531, 5392257, 
branch, system-noise, 11, 4, 11020130779, 24663084530, 8864809851, 793983768, 246082934, 6792514741, 9014665, 8725281689, 6859625, 4378599, 2353599, 818694949, 467707435, 5014753, 9962041, 528418411, 295482868, 3784430, 5060622, 539847632, 281927175, 3896142, 5058889, 
branch, system-noise, 11, 5, 11020371133, 26130185891, 8819876180, 791597601, 244501236, 6708964281, 8970058, 8693144388, 7090726, 4435226, 2372473, 842073391, 490483863, 4916968, 10549593, 532691926, 289064677, 3844773, 5129482, 537799817, 289930290, 3882323, 5416542, 
branch, system-noise, 11, 6, 11020271018, 23182034297, 8870931466, 793263880, 246428147, 6894942865, 9058469, 8770015240, 6866421, 5502736, 2482673, 1037307217, 582011213, 7035784, 14674621, 541586746, 273927314, 3818025, 4959220, 555405636, 256544544, 4024755, 4916097, 
branch, system-noise, 12, 1, 12020266458, 28811512969, 9182165768, 825818161, 254323346, 7396764941, 9456631, 9602602391, 8352750, 4721264, 2471491, 886404923, 533406999, 5602580, 11201185, 581900105, 306938675, 4124523, 5328428, 588752961, 308634460, 4207940, 5887388, 
branch, system-noise, 12, 2, 12020188630, 28835893450, 9611283367, 862418068, 266379989, 7286888048, 9564769, 9466136913, 8147364, 4317279, 2335650, 874016937, 510420817, 5224008, 10512082, 586160216, 309449888, 4233242, 5510759, 588447029, 309955398, 4208417, 5845506, 
branch, system-noise, 12, 3, 12020309433, 28353398704, 9606000791, 861623631, 266466718, 7316530052, 9805688, 9473931661, 7947506, 4837643, 2521625, 917549124, 524338763, 5532721, 11417909, 588296569, 299354888, 4177924, 5535377, 594509554, 301518378, 4210421, 5750698, 
branch, system-noise, 12, 4, 12020386978, 27890615890, 9639091244, 864083814, 267381090, 7348689539, 9813885, 9490750856, 8107748, 7978811, 2389807, 1539567060, 862111344, 14130871, 23417672, 604471955, 284725760, 4398864, 5364103, 587180783, 316238775, 4199689, 5767864, 
branch, system-noise, 12, 5, 12020511902, 25564529284, 9653128813, 863284199, 268126965, 7497124448, 10061539, 9536724881, 7329332, 4358141, 2339351, 906556762, 538103876, 5057809, 11646159, 585450044, 300876925, 4159694, 5323932, 602983549, 283059085, 4330394, 5612337, 
