,workload,cycles rate,branches rate,branch misses rate,L1-I loads rate,L1-I misses rate,L1-D loads rate,L1-D misses rate,L3 loads rate,L3 misses rate,cycles offset,branches offset,branch misses offset,L1-I loads offset,L1-I misses offset,L1-D loads offset,L1-D misses offset,L3 loads offset,L3 misses offset,cycles score,branches score,branch misses score,L1-I loads score,L1-I misses score,L1-D loads score,L1-D misses score,L3 loads score,L3 misses score
10,matrix-add-l1,0.9510658153070224,0.11900357035382957,0.00011865077056416782,0.0033267035008032373,0.0001533600337634935,0.7599163012556138,0.09976498803069932,0.00024391640857295127,4.954751985741328e-05,-1566856595.7527466,1843172.6076769829,212073.22075938387,5760618.195885867,446869.36945817666,1922430.816455841,133130.2531824112,759172.8633626997,1522057.6438166774,0.9657320018235298,0.9999982318524873,0.9940185276758914,0.9704001134930673,0.9763557453572835,0.9999971674197594,0.9999895465999923,0.009600876400238767,0.017828872277688146
11,matrix-add-l2,1.0891606277739505,0.10534940027714636,0.0018963891691439214,0.029286802687833215,0.0009819854996489519,0.8800877832018528,0.11911356094877319,4.396075650196413e-05,2.5111343377565725e-05,-1211461766.4915733,-8519382.522610188,504687.19983682036,-16966022.374967575,-953944.2111710608,53749619.21442032,7788406.042165756,3618109.139955933,2377042.881385007,0.9630303893697968,0.9995525243273778,0.9988163158155362,0.9623641661221581,0.933599499927212,0.9997850760812066,0.9995720673604502,0.03289988540212263,0.04186079933694009
12,matrix-add-l3,1.8825029001451699,0.098169163114672,0.0008132183390054679,0.02231518987430743,0.0014300514322298484,0.9741625278260035,0.1312792599803247,0.00013192188767312713,0.12830323720561412,-1207627400.6786308,-224226.06497502327,1058293.8220713586,3811797.451130748,-901024.05760305,-42055804.27257347,-15707157.124898672,2552964.259531092,-8690127.406491756,0.974175931373818,0.9998441802264857,0.9995798193706673,0.9910398788381438,0.9509944203427821,0.9999032034758536,0.9999297688600717,0.12482120068105484,0.9998431101516949
13,matrix-add-mem,1.8655883669648856,0.09765339554671755,0.0003678019580458976,0.02066910812597114,0.0014303165083611382,0.9810229252677812,0.13201593837459055,0.0001961841130492219,0.1292061884251118,-2111298314.309063,-3392910.3276274204,7502278.606762983,2188334.8620925546,-1483899.1780355368,-388069204.0926056,-99309977.53055286,1832150.6886010487,-92505680.71269608,0.9784452363633024,0.9993212420212354,0.9952748309304659,0.9282196844340961,0.9561228880365291,0.9996764945215657,0.9995092516835307,0.14897978050227523,0.9993791852137932
14,matrix-trans-l1,0.5398805771632091,0.14510122353433938,0.0016800356598108785,0.0018870765975517157,8.928554560616909e-05,0.2904147078918232,0.024844352709631385,2.9516300665893505e-05,1.097876219520239e-05,-987203878.3647842,1252350.7504062653,159471.1100937277,7493257.597332656,437753.5024342197,13067255.695396423,-22452256.163180828,3023703.066766256,1895688.8269696708,0.975899017115447,0.9999998743153252,0.9999959032742592,0.9859824637980041,0.995578778585435,0.9999995130031797,0.9942112053570076,0.18729957220966587,0.11587287504272646
15,matrix-prod-mem,1.1391415210775524,0.12635478539107914,0.00010409802312457497,0.005898691764382781,0.00043008692692632794,0.24689303319498462,0.1287789747483432,-5.117416609825225e-05,0.007745828883416762,11164307560.14682,-8243105.176111937,8406414.496652989,80790903.68205428,4319471.90732762,952687573.4178357,-112989782.26685894,5410735.195640099,-1176285.930876717,0.5350341095175736,0.9999010663831427,0.7839021591603945,0.5459061038197092,0.5963258954978427,0.9210325511785497,0.9998377492891145,0.002854064470594553,0.9978781353797137
16,tree-rb-mem,7.229774729107494,0.2469750689492293,0.007565765933217914,0.03236234949076912,0.0021369786416682037,0.5031696938400253,0.0789004218792452,-0.0031688087472391845,0.03952160243703951,-787880310.8982925,-12486835.431925297,-260762.65886945277,18990189.7762983,415730.24864720553,-1865846.5823636055,-7043276.056152016,16228578.086651333,2972993.1285838187,0.9236554388758487,0.9997058017327627,0.999405211051427,0.9484566756684973,0.9405615833806195,0.9985705604662748,0.997650876701572,0.028880366261476942,0.9672371193020534
17,tree-binary-mem,12.43601493788455,0.22062644823437358,0.0074235263590163095,0.0463409170987179,0.0033165221247201965,0.4607441505397596,0.10390873444421567,9.880274684519846e-05,0.04371342426267142,-1453724439.2290993,-14539611.902439177,-1180207.8975463733,15144748.256259203,272083.9530341178,-22475888.916665316,-6061049.956484675,4385275.190001119,-3039381.7499832213,0.9612213223618075,0.9982056765674063,0.9924156389915317,0.9725216059548254,0.9746869973591565,0.9970106561600667,0.9981807594522453,0.0012183754869008467,0.9964056708758078
18,radixsort-mem,9.195899616629825,0.17094505861323034,0.005346879563605008,0.04333615913399452,0.002203560899384823,0.4703149094088233,0.04749876450295758,0.0005610574436519266,0.041571390702533934,-9930351185.863213,-18962251.7445215,-4489750.684585705,-30398444.52700366,-1786115.6770765316,-124754792.23753905,-44540624.541593745,2307231.900793345,-39471261.80786203,0.9750765989930416,0.9995030537043126,0.982147767115096,0.8020554648945497,0.955957493053259,0.9989949102377884,0.9959209844913416,0.24546852033507383,0.9916318804231081
19,skiplist-mem,1.8159265401218996,0.22850044963007915,0.010715203492799232,0.016226887853989732,0.0004669140673789474,0.4313342106002083,0.01075300235944071,6.0121994358136225e-05,0.0032494432680167788,-4574122618.645744,-32180863.415068626,-8772614.87964487,-11910583.251864374,482658.58289855346,-72837670.42247677,-22389266.908558816,3563897.3448291686,-6867295.911913738,0.9712315527115193,0.9999933831387736,0.998620018781247,0.9964957167231315,0.996372603115533,0.9998498509440827,0.9477163428913751,0.09381418971858813,0.9903943332342044
