,workload,cycles rate,branches rate,branch misses rate,L1-I loads rate,L1-I misses rate,L1-D loads rate,L1-D misses rate,L3 loads rate,L3 misses rate,cycles offset,branches offset,branch misses offset,L1-I loads offset,L1-I misses offset,L1-D loads offset,L1-D misses offset,L3 loads offset,L3 misses offset,cycles score,branches score,branch misses score,L1-I loads score,L1-I misses score,L1-D loads score,L1-D misses score,L3 loads score,L3 misses score
10,matrix-add-l1,0.9553424226546148,0.11865727018622274,9.858883385133788e-05,0.0019234896543256356,8.744852264441571e-05,0.7612746859993412,0.10009464661069085,0.00011769844352291369,0.012417631641871138,-1941935686.7303123,5816517.042106628,436278.494189634,21709418.845020674,1144877.9317408004,-11878594.302928925,-3377848.5651831627,2623212.869230001,-139842324.68137428,0.9611441482497514,0.9999720551440894,0.8776500139302508,0.3635137258168195,0.31999601908932684,0.9999857578409653,0.999951012415481,0.005385355372643508,0.0470788599419093
11,matrix-add-l2,1.104586825097608,0.10316208121276688,0.0019061055902211842,0.024429355346388106,0.0008381888198909993,0.8917701155031292,0.12183066350550519,6.0253061628863925e-05,0.013649459951287057,-1623428904.873127,11505186.532559872,386202.94645147026,20445449.647369027,7829.110431794077,-49446121.19142914,-18109499.574371815,3345448.463573195,-119281596.70993948,0.9608315876068991,0.9978285721669126,0.9992646372153152,0.7786746245591986,0.794603724540531,0.9990989208196683,0.9977524292667181,0.11626284086710759,0.04330515760767961
12,matrix-add-l3,1.778258355945884,0.09785189625538387,0.0008021069857363702,0.021707258217427163,0.0013504206366745117,0.9759371668126294,0.13160124926863484,0.00012820876247892233,0.11231978940624673,2261382266.7767143,825158.0627818108,1048127.9102076553,5586709.690554678,-532735.6545732636,-16494657.03664589,-17229892.66021347,2771312.2176008103,302433302.98209906,0.7584107150281543,0.9997526080806145,0.9966151410685383,0.98009594733136,0.9227166769726469,0.9997316541114756,0.9998685592731889,0.20161662122284707,0.7047166843116149
13,matrix-add-mem,1.7729486470680011,0.0970970109479398,0.00035486408716228177,0.019405635682550874,0.0013927912779617513,0.9844379120786986,0.1327232068802324,0.00017609485786391598,0.11280764010631643,1487530356.456581,-1564562.7734954357,7514880.443590913,4324861.746700019,-1072915.3510622103,-368133248.50585175,-101547358.70831752,2151900.0717870905,238209011.2232499,0.7658229694360761,0.9993065243454489,0.9801503534347676,0.9108674896859291,0.9482606386040531,0.9994745775709107,0.9994451304388319,0.21072719610752788,0.6964718075511243
14,matrix-trans-l1,0.5272649638756352,0.14498063446941958,0.0016724844866916689,0.0010486651923666045,5.198143708782729e-05,0.290021936377767,0.024062188398685527,3.672610790712819e-05,0.006973242500264213,-536651021.1281471,3687410.053606987,317010.55417072773,24438952.208429232,1206235.8925052127,20538708.725629807,-2278297.3395626545,2805151.056987212,-131334346.73332617,0.9769527640059248,0.9999978151847838,0.9999415822120075,0.3454216374131789,0.38427202536778404,0.9999937766317076,0.9929271005275229,0.37975983293412663,0.04683141930851354
15,matrix-prod-mem,1.3398715610050136,0.1262782186532575,9.614311978500893e-05,0.005628716184303311,0.00041416810982734104,0.2577627324500236,0.12909198625004967,1.706820907146321e-05,0.011723811919225035,10790843645.266031,-10829285.954200983,8249562.1162751885,67144931.78050841,3558173.8875322323,880216877.0037866,-109668066.53977895,4633390.955933909,146453591.0482706,0.44419887838329897,0.9998415631595913,0.578542640581,0.3693194014455724,0.4425042288620385,0.8860913542457902,0.9996496282641579,0.00046952318787685243,0.009539484549594524
16,tree-rb-mem,6.98989198744772,0.2477512134868449,0.007589991656552766,0.029438749901847406,0.001983903182080437,0.5030982027294254,0.081141817033526,-0.0010222080783370304,-0.07706714336993752,2148301536.572647,-13528327.741618276,-281872.9487324804,20212668.206710085,547809.0402897606,-3429750.0508859158,-14191210.909001827,8694991.122035459,545229707.3937151,0.7315911395350587,0.9996908314580883,0.9992735543373149,0.8704229709539633,0.8877706369220624,0.9987534176809647,0.9915681250273679,0.00646402978437155,0.02709294985936206
17,tree-binary-mem,11.621421944926448,0.2197467560536663,0.0074205964156665,0.040320386495506524,0.002949366835946286,0.45687661775704175,0.10662799070550126,0.0006884465152789473,-0.19333593743068442,2596555336.7045097,-12056339.137828052,-1113553.2182125822,17821093.51164797,497048.27695523016,-19365278.831614852,-9013348.32316348,3398965.5235295705,612138708.6249499,0.7180161749358369,0.9982281249937035,0.9930035827440177,0.7877567497290618,0.8518199562355083,0.9970389830040967,0.9949454771473027,0.09268840295571568,0.056119928771892535
18,radixsort-mem,8.818523457259987,0.17077891178429827,0.005437653525004386,0.04217975489516496,0.002170726963531747,0.4726378951815395,0.04782722812843017,0.0005840979320966289,-0.09439592862434715,-5399949837.240349,-18486099.449462175,-4800116.429294905,-34073987.89588027,-2187272.9885589555,-135492539.37625384,-45406727.22508973,2596899.847298879,592201268.3395712,0.6816278551845996,0.9994795926219546,0.9826912906277929,0.7499760145887484,0.8345308589534872,0.9987833794729164,0.9944444166208505,0.24792436839341148,0.023258116599707224
19,skiplist-mem,1.8461319500339697,0.22878790585253836,0.010751770355839053,0.014312559550117182,0.00037554717202009825,0.43199992372333185,0.010375607266285706,0.00010206180659194193,0.0030633112383823195,-4277571936.8716125,-34320196.32859659,-9060479.735019863,-325313.80869963765,837025.0604274925,-80670971.45718193,-19848100.177051574,3028071.215380317,199713195.4341298,0.9276897235012076,0.9999862080983967,0.9985235694591487,0.8917640048757679,0.6282330942115733,0.9998131266528487,0.9391600625074619,0.2911534386786865,0.0006920323812653617
